ID,Survey_Period,RESP_ID,Which group best describes you?,Attribute,Response,QuestionID,Category,Question Intent,Order,Start time,Completion time
1,Fall_2025,Fall_2025_1,Alumni,How likely are you to recommend De La Salle College to prospective students based on your overall experience? ,10,AlumniHow likely are you to recommend De La Salle College to prospective students based on your overall experience? ,NPS,1. Likelihood to Recommend,1,1,1
1,Fall_2025,Fall_2025_1,Alumni,How satisfied were you with the quality of education you received at De La Salle College?,10,AlumniHow satisfied were you with the quality of education you received at De La Salle College?,NPS,2. Quality & Workload of Education,2,1,1
1,Fall_2025,Fall_2025_1,Alumni,How well do you feel De La Salle College prepared you for your career or further education after graduation? ,10,AlumniHow well do you feel De La Salle College prepared you for your career or further education after graduation? ,NPS,3. Preparation,3,1,1
1,Fall_2025,Fall_2025_1,Alumni,"How satisfied were you with the resources and support available to you while you were at De La Salle (e.g., career services, extracurriculars)",10,"AlumniHow satisfied were you with the resources and support available to you while you were at De La Salle (e.g., career services, extracurriculars)",NPS,4. Resources & Support,4,1,1
1,Fall_2025,Fall_2025_1,Alumni,How well did the College uphold the values and standards you experienced as a student?,10,AlumniHow well did the College uphold the values and standards you experienced as a student?,NPS,5. Values and Standards,5,1,1
2,Fall_2025,Fall_2025_2,Student,How likely are you to recommend De La Salle College to others based on your experience with the quality of education?,10,StudentHow likely are you to recommend De La Salle College to others based on your experience with the quality of education?,NPS,1. Likelihood to Recommend,1,2,2
4,Fall_2025,Fall_2025_4,Student,How likely are you to recommend De La Salle College to others based on your experience with the quality of education?,8,StudentHow likely are you to recommend De La Salle College to others based on your experience with the quality of education?,NPS,1. Likelihood to Recommend,1,4,4
6,Fall_2025,Fall_2025_6,Student,How likely are you to recommend De La Salle College to others based on your experience with the quality of education?,8,StudentHow likely are you to recommend De La Salle College to others based on your experience with the quality of education?,NPS,1. Likelihood to Recommend,1,6,6
7,Fall_2025,Fall_2025_7,Student,How likely are you to recommend De La Salle College to others based on your experience with the quality of education?,5,StudentHow likely are you to recommend De La Salle College to others based on your experience with the quality of education?,NPS,1. Likelihood to Recommend,1,7,7
2,Fall_2025,Fall_2025_2,Student,How well does the academic workload challenge you without being overwhelming?,10,StudentHow well does the academic workload challenge you without being overwhelming?,NPS,2. Quality & Workload of Education,2,2,2
4,Fall_2025,Fall_2025_4,Student,How well does the academic workload challenge you without being overwhelming?,8,StudentHow well does the academic workload challenge you without being overwhelming?,NPS,2. Quality & Workload of Education,2,4,4
6,Fall_2025,Fall_2025_6,Student,How well does the academic workload challenge you without being overwhelming?,4,StudentHow well does the academic workload challenge you without being overwhelming?,NPS,2. Quality & Workload of Education,2,6,6
7,Fall_2025,Fall_2025_7,Student,How well does the academic workload challenge you without being overwhelming?,2,StudentHow well does the academic workload challenge you without being overwhelming?,NPS,2. Quality & Workload of Education,2,7,7
2,Fall_2025,Fall_2025_2,Student,How satisfied are you with the support and resources available to help you succeed academically?,10,StudentHow satisfied are you with the support and resources available to help you succeed academically?,NPS,4. Resources & Support,3,2,2
4,Fall_2025,Fall_2025_4,Student,How satisfied are you with the support and resources available to help you succeed academically?,8,StudentHow satisfied are you with the support and resources available to help you succeed academically?,NPS,4. Resources & Support,3,4,4
6,Fall_2025,Fall_2025_6,Student,How satisfied are you with the support and resources available to help you succeed academically?,7,StudentHow satisfied are you with the support and resources available to help you succeed academically?,NPS,4. Resources & Support,3,6,6
7,Fall_2025,Fall_2025_7,Student,How satisfied are you with the support and resources available to help you succeed academically?,7,StudentHow satisfied are you with the support and resources available to help you succeed academically?,NPS,4. Resources & Support,3,7,7
2,Fall_2025,Fall_2025_2,Student,How effective are your teachers in helping you understand course material and stay engaged?,10,StudentHow effective are your teachers in helping you understand course material and stay engaged?,NPS,3. Preparation,4,2,2
