ID,Survey_Period,RESP_ID,Which group best describes you?,Which grade are you currently in? (required),How long have you attended De La Salle College?,Do you participate in any extracurricular activities?,Please select the grade(s) your child(ren) are in,How long has your child (or oldest child) attended De La Salle College?,How would you describe your involvement with the College community?,What grade levels do you currently teach?,How long have you been working at De La Salle College?,When did you attend or graduate from De La Salle College?,Attribute,Value,QuestionID,Category,Question Intent,Order,Display_Value,ResponseNumeric
1,Fall_2025,Fall_2025_1,Alumni,,,,,,,,,Graduated before 1980,How likely are you to recommend De La Salle College to prospective students based on your overall experience? ,10,AlumniHow likely are you to recommend De La Salle College to prospective students based on your overall experience? ,NPS,1. Likelihood to Recommend,1,k - 10,10
1,Fall_2025,Fall_2025_1,Alumni,,,,,,,,,Graduated before 1980,How satisfied were you with the quality of education you received at De La Salle College?,10,AlumniHow satisfied were you with the quality of education you received at De La Salle College?,NPS,2. Quality & Workload of Education,2,k - 10,10
1,Fall_2025,Fall_2025_1,Alumni,,,,,,,,,Graduated before 1980,How well do you feel De La Salle College prepared you for your career or further education after graduation? ,10,AlumniHow well do you feel De La Salle College prepared you for your career or further education after graduation? ,NPS,3. Preparation,3,k - 10,10
1,Fall_2025,Fall_2025_1,Alumni,,,,,,,,,Graduated before 1980,"How satisfied were you with the resources and support available to you while you were at De La Salle (e.g., career services, extracurriculars)",10,"AlumniHow satisfied were you with the resources and support available to you while you were at De La Salle (e.g., career services, extracurriculars)",NPS,4. Resources & Support,4,k - 10,10
1,Fall_2025,Fall_2025_1,Alumni,,,,,,,,,Graduated before 1980,How well did the College uphold the values and standards you experienced as a student?,10,AlumniHow well did the College uphold the values and standards you experienced as a student?,NPS,5. Values and Standards,5,k - 10,10
2,Fall_2025,Fall_2025_2,Student,Grade 5,Less than 1 year,Yes,,,,,,,How likely are you to recommend De La Salle College to others based on your experience with the quality of education?,10,StudentHow likely are you to recommend De La Salle College to others based on your experience with the quality of education?,NPS,1. Likelihood to Recommend,1,k - 10,10
2,Fall_2025,Fall_2025_2,Student,Grade 5,Less than 1 year,Yes,,,,,,,How well does the academic workload challenge you without being overwhelming?,10,StudentHow well does the academic workload challenge you without being overwhelming?,NPS,2. Quality & Workload of Education,2,k - 10,10
2,Fall_2025,Fall_2025_2,Student,Grade 5,Less than 1 year,Yes,,,,,,,How satisfied are you with the support and resources available to help you succeed academically?,10,StudentHow satisfied are you with the support and resources available to help you succeed academically?,NPS,4. Resources & Support,3,k - 10,10
7,Fall_2025,Fall_2025_7,Student,Grade 12,5–6 years,No,,,,,,,How well does the academic workload challenge you without being overwhelming?,2,StudentHow well does the academic workload challenge you without being overwhelming?,NPS,2. Quality & Workload of Education,2,c - 2,2
6,Fall_2025,Fall_2025_6,Student,Grade 11,5–6 years,Yes,,,,,,,How well does the academic workload challenge you without being overwhelming?,4,StudentHow well does the academic workload challenge you without being overwhelming?,NPS,2. Quality & Workload of Education,2,e - 4,4
